answer,question
Correct,MongoDB provides a $setWindowFields stage for sliding window calculations in the aggregation pipeline.
Wrong,MongoDB does not support any form of data anonymization.
Correct,MongoDB allows for the creation of background index builds.
Wrong,MongoDB requires manual configuration of write tickets.
Correct,MongoDB provides a $function stage for defining custom aggregation expressions in the pipeline.
Wrong,MongoDB does not support any form of data archiving.
Correct,MongoDB allows for the creation of partial filter expressions on indexes.
Wrong,MongoDB requires manual configuration of read tickets.
Correct,MongoDB provides a $merge stage with custom update pipelines in the aggregation framework.
Wrong,MongoDB does not support any form of data lineage tracking.
Correct,MongoDB allows for the creation of indexes with custom collations.
Wrong,MongoDB requires manual configuration of database profiling.
Correct,MongoDB provides a $accumulator stage for user-defined accumulator functions in the aggregation pipeline.
Wrong,MongoDB does not support any form of data quality checks.
Correct,MongoDB allows for the creation of multi-key indexes on array fields.
Wrong,MongoDB requires manual configuration of query optimization.
Correct,MongoDB provides a $dateToString operator for custom date formatting in queries and aggregations.
Wrong,MongoDB does not support any form of data retention policies.
Correct,MongoDB allows for the creation of prefix indexes on compound indexes.
Wrong,MongoDB requires manual configuration of cursor batch size.
Correct,MongoDB provides a $convert operator for explicit type conversions in queries and aggregations.
Wrong,MongoDB does not support any form of data obfuscation.
Correct,MongoDB allows for the creation of indexes with custom storage engines.
Wrong,MongoDB requires manual configuration of read preferences for secondaries.
Correct,MongoDB provides a $replaceRoot stage for promoting embedded documents to the top level in the aggregation pipeline.
Correct,"In MongoDB, a compound index can optimize queries that filter on multiple fields, but it requires the order of fields in the index to match the query."
Wrong,"MongoDB does not allow the use of indexes in aggregation pipelines."
Correct,"The performance of write operations in a MongoDB sharded cluster can be influenced by the choice of the shard key."
Wrong,"MongoDB's sharding only affects read operations, not writes."
Correct,"Using the $elemMatch operator in MongoDB, you can match documents that contain an array field with at least one element matching all specified criteria."
Wrong,"The $elemMatch operator can only be used for exact matches in MongoDB."
Correct,"In MongoDB, an aggregation pipeline can include a $graphLookup stage for recursive searches within a collection."
Wrong,"MongoDB does not support recursive operations in aggregation pipelines."
Correct,"A MongoDB replica set can have an arbiter node, which participates in elections but does not store data."
Wrong,"In a MongoDB replica set, all nodes must store data."
Correct,"The WiredTiger storage engine in MongoDB uses both compression and cache to optimize storage and retrieval."
Wrong,"WiredTiger in MongoDB only optimizes storage with compression, not cache."
Correct,"MongoDB's aggregation framework allows for the use of custom JavaScript functions through the $function operator."
Wrong,"Custom JavaScript functions are not supported in MongoDB's aggregation framework."
Correct,"In MongoDB, the $bucketAuto stage dynamically creates buckets for aggregation based on the distribution of input data."
Wrong,"The $bucketAuto stage in MongoDB requires predefined bucket boundaries."
Correct,"Using MongoDB's TTL (Time to Live) indexes, documents can automatically expire and be removed after a specified duration."
Wrong,"TTL indexes in MongoDB only mark documents as expired but do not remove them."
Correct,"MongoDB allows for distributed transactions across multiple shards, ensuring ACID properties."
Wrong,"MongoDB does not support distributed transactions across multiple shards."
Correct,"In MongoDB, text indexes support stemming, which reduces words to their root form."
Wrong,"Text indexes in MongoDB only match exact words and do not support stemming."
Correct,"The $merge stage in MongoDB's aggregation pipeline can be used to merge the output of a pipeline into an existing collection, updating or inserting documents as needed."
Wrong,"The $merge stage in MongoDB only inserts new documents and cannot update existing ones."
Correct,"MongoDB's partial indexes index only the documents in a collection that meet a specified filter condition."
Wrong,"Partial indexes in MongoDB index all documents and then filter the results during queries."
Correct,"MongoDB supports multi-document ACID transactions, but they are more resource-intensive than single-document operations."
Wrong,"MongoDB's multi-document transactions are as efficient as single-document operations."
Correct,"In MongoDB, the $text operator allows for searching text within a collection using natural language queries."
Wrong,"The $text operator in MongoDB only supports exact matches and does not support natural language processing."
Correct,"When using MongoDB's sharding, it's important to carefully choose a shard key to avoid hotspots and ensure even data distribution."
Wrong,"The choice of shard key in MongoDB's sharding does not significantly impact performance."
Correct,"In MongoDB, the $lookup stage can perform left outer joins between two collections, and the performance can be affected by the size of the collections involved."
Wrong,"The $lookup stage in MongoDB is optimized for performance and is not affected by the size of collections."
Correct,"MongoDB's capped collections have a fixed size and automatically delete the oldest documents when the size limit is reached."
Wrong,"Capped collections in MongoDB grow indefinitely without deleting old documents."
Correct,"In a MongoDB replica set, the oplog (operations log) is used to replicate changes from the primary node to the secondary nodes."
Wrong,"The oplog in MongoDB is only used for restoring backups, not for replication."
Correct,"The aggregation pipeline in MongoDB supports stages like $group, $unwind, and $out, allowing for complex data transformations."
Wrong,"MongoDB's aggregation pipeline only supports basic stages like $match and $sort."
Correct,"In MongoDB, a hashed index can be used to distribute documents evenly across shards, particularly for fields with high cardinality."
Wrong,"Hashed indexes in MongoDB are used to perform full-text search and are not related to sharding."
Correct,"MongoDB's $cond operator in the aggregation pipeline allows for conditional expressions, similar to if-else logic."
Wrong,"The $cond operator in MongoDB is used for arithmetic operations, not conditional logic."
Correct,"A MongoDB secondary node can be configured as a delayed replica, which replicates data from the primary with a time delay."
Wrong,"All secondary nodes in a MongoDB replica set replicate data in real-time without delay."
Correct,"The $geoNear stage in MongoDB's aggregation pipeline is used to perform geospatial queries that return documents sorted by distance."
Wrong,"The $geoNear stage in MongoDB's aggregation pipeline is used to index geospatial data, not for querying."
Correct,"MongoDB's change streams allow applications to access real-time data changes without polling the database."
Wrong,"Change streams in MongoDB require continuous polling to detect data changes."
Correct,"In MongoDB, the $sample stage in an aggregation pipeline can be used to randomly select a specified number of documents."
Wrong,"The $sample stage in MongoDB is used for sorting documents in a random order."
Correct,"The WiredTiger engine in MongoDB uses multiversion concurrency control (MVCC) to handle simultaneous read and write operations."
Wrong,"WiredTiger in MongoDB handles concurrency by locking the entire database during write operations."
Correct,"The $facet stage in MongoDB's aggregation pipeline allows for executing multiple aggregation pipelines within a single stage, each producing its own result set."
Wrong,"The $facet stage in MongoDB is used to split documents into different collections based on criteria."
Correct,"MongoDB's replica set can tolerate a single node failure without losing the ability to elect a new primary, assuming the replica set has at least three members."
Wrong,"A MongoDB replica set cannot elect a new primary if any node fails."
Correct,"In MongoDB, the $redact stage in the aggregation pipeline is used to restrict the content of documents based on the user’s access level."
Wrong,"The $redact stage in MongoDB is used for data formatting, not for access control."
Correct,"MongoDB Atlas automatically manages backups and restores for cloud-deployed databases."
Wrong,"MongoDB Atlas requires manual configuration for backups and restores."
Correct,"A MongoDB database can be encrypted at rest using the WiredTiger storage engine's built-in encryption support."
Wrong,"MongoDB does not support encryption at rest and relies on external tools for encryption."
Correct,"In MongoDB, the $unwind stage can be used to flatten arrays within documents, but it can also preserve array index information if needed."
Wrong,"The $unwind stage in MongoDB only flattens arrays and cannot preserve index information."
Correct,"MongoDB supports the use of collation to perform case-insensitive and locale-aware string comparisons in queries."
Wrong,"Collation in MongoDB is limited to sorting operations and cannot be applied to queries."
Correct,"The $text operator in MongoDB can be combined with the $meta projection to sort documents by relevance score."
Wrong,"The $text operator in MongoDB does not support sorting by relevance."
Correct,"MongoDB's $indexStats aggregation stage can be used to return statistics about the usage of each index on a collection."
Wrong,"The $indexStats stage in MongoDB is used to create new indexes based on query patterns."
Correct,"MongoDB's GridFS is useful for storing and retrieving files that exceed the BSON document size limit of 16MB."
Wrong,"GridFS in MongoDB is designed for storing metadata, not large files."
Correct,"The $currentOp aggregation stage in MongoDB provides information about operations currently running on the server, which can be filtered and analyzed."
Wrong,"The $currentOp stage in MongoDB is used to kill long-running queries."
Correct,"In MongoDB, secondary nodes can vote in elections even if they are not eligible to become primary."
Wrong,"Only nodes eligible to become primary can vote in elections in MongoDB's replica sets."
Correct,"The $out stage in MongoDB's aggregation pipeline can be used to write the results of an aggregation to a new or existing collection."
Wrong,"The $out stage in MongoDB is used to export data to external systems."
Correct,"In MongoDB, a sparse index only includes documents in the index if the indexed field contains a value."
Wrong,"Sparse indexes in MongoDB include all documents, regardless of whether the indexed field contains a value."
Correct,"MongoDB supports the use of wildcard indexes to index fields within documents that have dynamic or unpredictable structures."
Wrong,"Wildcard indexes in MongoDB are limited to static, well-defined fields in documents."
Correct,"In a sharded MongoDB deployment, balancing the chunks across shards is crucial to prevent some shards from becoming overburdened with data."
Wrong,"Shard balancing in MongoDB is an optional operation that has no impact on overall performance."
Correct,"The $mergeObjects operator in MongoDB can be used in the aggregation pipeline to combine the fields of multiple documents into a single document."
Wrong,"The $mergeObjects operator in MongoDB is used to merge collections, not document fields."
Correct,"MongoDB's retryable writes feature ensures that write operations are not executed more than once even if the client sends the request multiple times."
Wrong,"Retryable writes in MongoDB are designed to execute the same write operation multiple times for redundancy."
Correct,"In MongoDB, the $addFields stage allows for adding new fields or modifying existing ones within documents in an aggregation pipeline."
Wrong,"The $addFields stage in MongoDB is used to delete fields from documents in an aggregation pipeline."
Correct,"MongoDB supports the use of encrypted fields within documents, allowing for field-level encryption."
Wrong,"Field-level encryption in MongoDB requires the entire document to be encrypted."
Correct,"In a MongoDB replica set, the priority value assigned to each member affects the likelihood of that member becoming primary during an election."
Wrong,"The priority value in a MongoDB replica set only affects the order in which nodes are synced, not the election process."
Correct,"The $map operator in MongoDB's aggregation framework can be used to apply a transformation to each element in an array field."
Wrong,"The $map operator in MongoDB is used to filter array elements, not transform them."
Correct,"MongoDB's $accumulator operator allows for custom aggregation logic by accumulating values during the processing of a group of documents."
Wrong,"The $accumulator operator in MongoDB is only used for predefined aggregation functions like $sum and $avg."
